Word,Occurrence,% Frequency
group,68,0.012088867397569071
serious,68,0.012088867397569071
consciousness,68,0.012088867397569071
silently,67,0.011911089935840113
filled,67,0.011911089935840113
flushed,67,0.011911089935840113
plain,67,0.011911089935840113
relations,67,0.011911089935840113
whats,67,0.011911089935840113
notice,67,0.011911089935840113
consider,67,0.011911089935840113
interest,67,0.011911089935840113
majesty,67,0.011911089935840113
city,66,0.011733312474111158
unknown,66,0.011733312474111158
nesvitski,66,0.011733312474111158
brothers,66,0.011733312474111158
minutes,66,0.011733312474111158
wrong,66,0.011733312474111158
strong,66,0.011733312474111158
visitors,66,0.011733312474111158
youll,66,0.011733312474111158
growing,66,0.011733312474111158
telling,66,0.011733312474111158
chair,66,0.011733312474111158
settled,66,0.011733312474111158
mean,66,0.011733312474111158
snow,65,0.0115555350123822
genius,65,0.0115555350123822
riding,65,0.0115555350123822
commanders,65,0.0115555350123822
surrounded,65,0.0115555350123822
crossed,65,0.0115555350123822
vera,65,0.0115555350123822
cut,65,0.0115555350123822
oclock,65,0.0115555350123822
sorry,65,0.0115555350123822
bare,65,0.0115555350123822
effect,65,0.0115555350123822
fate,65,0.0115555350123822
post,65,0.0115555350123822
wood,64,0.011377757550653244
forest,64,0.011377757550653244
houses,64,0.011377757550653244
advance,64,0.011377757550653244
blame,64,0.011377757550653244
greater,64,0.011377757550653244
imagine,64,0.011377757550653244
act,64,0.011377757550653244
expecting,64,0.011377757550653244
blood,64,0.011377757550653244
squadron,63,0.011199980088924286
excited,63,0.011199980088924286
boots,63,0.011199980088924286
learned,63,0.011199980088924286
shed,63,0.011199980088924286
seven,63,0.011199980088924286
instant,63,0.011199980088924286
hold,63,0.011199980088924286
onto,63,0.011199980088924286
pity,63,0.011199980088924286
wishing,63,0.011199980088924286
government,63,0.011199980088924286
lifted,63,0.011199980088924286
animated,63,0.011199980088924286
written,63,0.011199980088924286
needed,62,0.01102220262719533
julie,62,0.01102220262719533
devil,62,0.01102220262719533
sky,62,0.01102220262719533
regard,62,0.01102220262719533
bent,62,0.01102220262719533
